Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,child_frame_id,transform.translation.x,transform.translation.y,transform.translation.z,transform.rotation.x,transform.rotation.y,transform.rotation.z,transform.rotation.w
1664959721.0617254,19546,1664959721,60349464,vive/reference,vive/tracker_1,1.3069434634848702,-1.8078833440767115,-0.8615854959904099,-0.01167120120366151,-0.11208189106009095,0.964824094134529,0.2375190900604926
1664959721.0825627,19547,1664959721,80332279,vive/reference,vive/tracker_1,1.3024527751569968,-1.8022758881144538,-0.8607354132524279,-0.009687268289686427,-0.11172527646190836,0.9655974199153953,0.23461597992118458
1664959721.10167,19548,1664959721,100326061,vive/reference,vive/tracker_1,1.2984658948631431,-1.7968654586991215,-0.8600857730319995,-0.008846066857472995,-0.10936008871763693,0.966560403254618,0.23178117158337233
1664959721.1215453,19549,1664959721,120329618,vive/reference,vive/tracker_1,1.294211044414104,-1.7913014185100158,-0.8589124186757753,-0.008665819163401298,-0.10737817514720212,0.9671562733470584,0.23022373220652448
1664959721.1422834,19550,1664959721,140329599,vive/reference,vive/tracker_1,1.2900985958418125,-1.7855268752889224,-0.8576362170407092,-0.006929090540123625,-0.10648213599167597,0.9676445563978137,0.22864158743871488
1664959721.1609597,19551,1664959721,160322666,vive/reference,vive/tracker_1,1.2858650744055014,-1.7797165591979058,-0.8561288678501002,-0.00377056418501652,-0.10461112322704211,0.9685315389771447,0.2258060743510417
1664959721.1808887,19552,1664959721,180311203,vive/reference,vive/tracker_1,1.2819979677028221,-1.7732502656506313,-0.8544045448684732,-0.0018068950178508347,-0.10090207252476276,0.9696416144621132,0.22273321611864388
1664959721.201936,19553,1664959721,200343370,vive/reference,vive/tracker_1,1.2778744923168295,-1.766861046298879,-0.8524974809568571,-0.0017992066926270922,-0.09697039578995408,0.9704862417096356,0.22079267129926106
1664959721.2217457,19554,1664959721,220325708,vive/reference,vive/tracker_1,1.2733913615344787,-1.7600503894767383,-0.8504308774075584,-0.0016261627495911812,-0.09590160130844624,0.9711674577650495,0.21825080748469317
1664959721.2420363,19555,1664959721,240328789,vive/reference,vive/tracker_1,1.269133028663137,-1.753445807522676,-0.8484880669819832,0.00016729049299149534,-0.09666014033290617,0.9721801053014352,0.21335891985176583
1664959721.2614787,19556,1664959721,260342836,vive/reference,vive/tracker_1,1.264607392924037,-1.7466289161519426,-0.8463117575657502,0.0020878435111260224,-0.09466092162226167,0.9734170473569778,0.20855129274145334
