Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1664959703.2955046,4729,1664959703,283051742,Waveshare_Sense_HAT_B/IMU,-0.8284223674152054,-0.5594466279805078,-0.014956146350702157,0.022631069213856454,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.07936220048436128,0.14860438882642146,0.7190534943213942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.548380126953125,-1.3747412109375001,10.244696044921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959703.3077192,4730,1664959703,295261225,Waveshare_Sense_HAT_B/IMU,-0.8309134087761553,-0.5556921555905786,-0.015356018533844659,0.023522925538163986,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.013582121559404112,0.12570120345174002,0.7283745581366715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43940673828125,-1.5459851074218751,10.2075732421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959703.3199368,4731,1664959703,307475820,Waveshare_Sense_HAT_B/IMU,-0.8333248042359525,-0.5520340734074566,-0.01585088896326053,0.02401877934776663,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.05193164125654514,0.10652644360316951,0.7062703210890139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34360595703125,-1.6729211425781252,10.134525146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959703.3321097,4732,1664959703,319694674,Waveshare_Sense_HAT_B/IMU,-0.8355740808528462,-0.5486067919110484,-0.016435484633276154,0.024008709270964816,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.12836436454181926,0.0772316716122979,0.6593986859036193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26217529296875,-1.7160314941406252,10.00399658203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959703.3443131,4733,1664959703,331893343,Waveshare_Sense_HAT_B/IMU,-0.8376402696114085,-0.545446062362124,-0.017115809324884223,0.023546142999114693,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.1936118112487606,0.055127434564640226,0.6061354641020346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.146016845703125,-1.648970947265625,9.916578369140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959703.3565636,4734,1664959703,344089457,Waveshare_Sense_HAT_B/IMU,-0.839500276121492,-0.5425895303036146,-0.017685553294685193,0.022871580651598476,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.20666130059014887,0.02583266257376861,0.5470132879022754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011895751953125,-1.522034912109375,9.787247314453126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959703.368741,4735,1664959703,356330940,Waveshare_Sense_HAT_B/IMU,-0.8412383821082575,-0.5399064512134341,-0.018042670686949917,0.022214194571928206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.17949705747134062,0.002396844981071314,0.5142564064943008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91729248046875,-1.3651611328125002,9.648336181640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959703.3809447,4736,1664959703,368530313,Waveshare_Sense_HAT_B/IMU,-0.8428542419678697,-0.5373919454098363,-0.018246395003931014,0.021764486549420686,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.13156015784991434,0.0029294771990871615,0.4817658411953341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7939489746093751,-1.205892333984375,9.521400146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959703.3932188,4737,1664959703,380729742,Waveshare_Sense_HAT_B/IMU,-0.8443337590917964,-0.5350637605675499,-0.018303051719027012,0.02173185871016972,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.055926382891663996,0.0223705531566656,0.4468784309152961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699345703125,-1.063388671875,9.433981933593751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959703.4054537,4738,1664959703,392959669,Waveshare_Sense_HAT_B/IMU,-0.8457118136938117,-0.5328670831298638,-0.018205434861704138,0.02219824400466798,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.030626352535911235,0.04687163518539458,0.42290998110458294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65384033203125,-0.95082275390625,9.401649169921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959703.4176943,4739,1664959703,405213986,Waveshare_Sense_HAT_B/IMU,-0.8470004842357549,-0.5307837623659434,-0.01799208196343058,0.023131413698077363,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10892328858424083,0.07270429775916319,0.40240364071097284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6514453125,-0.8669970703125001,9.42919189453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959703.4298506,4740,1664959703,417440228,Waveshare_Sense_HAT_B/IMU,-0.848260284667124,-0.5287198662300057,-0.01774018433305117,0.02439422821087522,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16112124594979388,0.09507485091582879,0.39814258296684607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6514453125,-0.803529052734375,9.533375244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959703.4421492,4741,1664959703,429640638,Waveshare_Sense_HAT_B/IMU,-0.8495277497142798,-0.526617503497107,-0.017503976044189684,0.02588857467129332,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1925465468127289,0.11611382352745477,0.40453416958303623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671802978515625,-0.803529052734375,9.619595947265626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959703.4543452,4742,1664959703,441859548,Waveshare_Sense_HAT_B/IMU,-0.8508938251593096,-0.5243297230655759,-0.017410991868887535,0.027475392224247584,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19387812735776852,0.1443433310822947,0.4378236832090267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6873706054687501,-0.803529052734375,9.729766845703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664959703.4665568,4743,1664959703,454133271,Waveshare_Sense_HAT_B/IMU,-0.852334050065127,-0.5219028280146324,-0.017437616298013773,0.02898335294181427,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1725728386371346,0.15419702711558786,0.4623247652377557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73048095703125,-0.846639404296875,9.912985839843751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
